name,pressure_bar,temperature_K,target_mol_kg,density_g_cm3,target_cm3_cm3,pred_cm3_cm3,abs_error,rel_error_pct,sf_lcd,sf_pld,sf_vf,status
DB5-hypotheticalMOF_5060248_2_1_2_12_12_0,5.0,298.15,0.009839,1.055,0.2327,133.238,133.0054,57169.66,4.72,1.5,0.352,ok
DB0-m2_o10_kto,5.0,298.15,0.009932,0.6009,0.1338,102.4263,102.2925,76468.35,9.53,3.54,0.659,ok
DB5-hypotheticalMOF_5024843_2_0_0_27_16_1,5.0,298.15,0.018413,0.3672,0.1515,137.4871,137.3356,90629.9,8.52,3.14,0.738,ok
DB0-m2_o14_o20_f0_nbo.sym.99,5.0,298.15,0.018414,0.4374,0.1805,112.5618,112.3813,62255.65,12.26,4.79,0.648,ok
DB6-cuf_7523,5.0,298.15,0.018419,0.4828,0.1993,130.3379,130.1386,65292.93,7.68,1.5,0.629,ok
DB7-ddmof_6678,5.0,298.15,0.018419,0.7205,0.2975,122.0411,121.7436,40927.96,13.18,4.32,0.556,ok
DB5-hypotheticalMOF_5018595_0_0_0_19_12_10,5.0,298.15,0.018422,0.4087,0.1688,123.4584,123.2896,73056.72,7.22,1.92,0.65,ok
DB5-hypotheticalMOF_5017164_2_0_0_19_25_6,5.0,298.15,0.018427,0.3094,0.1278,93.0074,92.8796,72674.27,7.92,3.58,0.765,ok
DB0-m3_o9_o23_f0_nbo.sym.68,5.0,298.15,0.018427,0.541,0.2235,125.8682,125.6447,56227.25,8.89,5.11,0.55,ok
DB0-m2_o11_o28_f0_nbo.sym.55,5.0,298.15,0.018431,0.3494,0.1444,103.0202,102.8759,71262.79,18.62,5.05,0.701,ok
DB0-m2_o5_o27_f0_nbo.sym.12,5.0,298.15,0.018434,0.4734,0.1956,123.4584,123.2628,63013.28,15.32,3.67,0.636,ok
DB0-m3_o21_o26_f0_pcu.sym.2,5.0,298.15,0.018434,0.3614,0.1493,115.1931,115.0438,77050.17,6.97,1.55,0.69,ok
DB0-m2_o11_o28_f0_nbo.sym.35,5.0,298.15,0.018434,0.2975,0.1229,84.2019,84.079,68400.9,18.68,5.13,0.766,ok
DB0-m3_o2_o22_f0_pcu.sym.17,5.0,298.15,0.018435,0.7697,0.318,94.1155,93.7975,29492.04,6.11,1.5,0.245,ok
DB0-m3_o6_o28_f0_pcu.sym.82,5.0,298.15,0.018438,0.3506,0.1449,117.5691,117.4242,81039.99,9.38,2.35,0.695,ok
DB15-pcu_N65_E225_opt,5.0,298.15,0.018443,0.3011,0.1245,92.7573,92.6328,74429.88,8.95,3.51,0.766,ok
DB0-m2_o14_o25_f0_nbo.sym.10,5.0,298.15,0.018444,0.4019,0.1662,126.6137,126.4476,76095.99,8.82,5.02,0.679,ok
DB1-Zn2O8N2-ADC_A-DPAC_A_No17,5.0,298.15,0.018451,0.3621,0.1498,114.5142,114.3645,76364.3,7.09,3.05,0.735,ok
DB1-Zn2O8N2-DPAC_A-irmof20_A_No541,5.0,298.15,0.018453,0.403,0.1667,128.4969,128.3303,76993.81,12.11,3.06,0.708,ok
DB7-ddmof_18374,5.0,298.15,0.018453,0.3047,0.126,83.3551,83.2291,66049.78,11.51,6.68,0.762,ok
DB0-m2_o11_o24_f0_pcu.sym.84,5.0,298.15,0.031149,0.9201,0.6424,101.2213,100.5789,15656.9,4.42,1.5,0.28,ok
DB1-Cu2O8N2-BDC_A-DPAC_A_No551,5.0,298.15,0.031161,0.8469,0.5915,104.3166,103.725,17535.11,11.23,1.5,0.407,ok
DB0-m3_o24_o52_f0_fsc.sym.14,5.0,298.15,0.031167,0.9981,0.6972,98.3756,97.6784,14009.09,6.01,1.5,0.258,ok
DB0-m2_o16_o29_f0_pcu.sym.3,5.0,298.15,0.031179,0.5225,0.3651,133.6677,133.3026,36507.25,11.0,1.5,0.508,ok
DB0-m3_o24_o52_f0_fsc.sym.1,5.0,298.15,0.031181,0.9117,0.6372,101.5075,100.8704,15831.29,6.0,1.5,0.305,ok
DB0-m1_o41_o20_fsc,5.0,298.15,0.031182,0.6512,0.4551,113.6865,113.2314,24880.57,6.67,1.5,0.533,ok
DB0-m3_o93_o23_f0_fsc.sym.9,5.0,298.15,0.031189,0.935,0.6536,126.7838,126.1302,19297.16,5.68,1.5,0.216,ok
DB0-m3_o7_o15_f0_pcu.sym.35,5.0,298.15,0.031198,0.6937,0.4851,111.9284,111.4433,22973.48,7.12,1.5,0.435,ok
DB0-m2_o16_o28_f0_pcu.sym.104,5.0,298.15,0.031215,0.5797,0.4056,140.9981,140.5926,34665.45,9.34,1.5,0.479,ok
DB0-m3_o96_o23_f0_fsc.sym.8,5.0,298.15,0.031222,0.6157,0.4309,134.4952,134.0644,31115.39,6.4,1.65,0.475,ok
DB0-m3_o25_o115_f0_fsc.sym.41,5.0,298.15,0.031234,0.5915,0.4141,141.4527,141.0386,34060.5,6.67,2.06,0.484,ok
DB5-hypotheticalMOF_5036689_1_1_1_18_24_0,5.0,298.15,0.031236,0.6254,0.4379,136.4581,136.0203,31063.54,6.8,2.17,0.489,ok
DB0-m9_o3_o25_f0_sra.sym.58,5.0,298.15,0.031248,0.751,0.526,112.6829,112.1569,21323.76,10.66,1.5,0.299,ok
DB0-m2_o11_o18_f0_pcu.sym.6,5.0,298.15,0.031258,0.7199,0.5044,116.4064,115.902,22980.38,6.38,1.5,0.392,ok
DB0-m3_o16_o43_f0_fsc.sym.16,5.0,298.15,0.099925,0.8433,1.8887,153.0561,151.1674,8003.93,6.02,1.5,0.313,ok
DB0-m3_o52_o13_f0_fsc.sym.4,5.0,298.15,0.099982,0.8585,1.9239,121.9428,120.019,6238.44,6.03,1.5,0.267,ok
DB0-m3_o158_o151_f0_fsc.sym.42,5.0,298.15,0.100004,0.8274,1.8546,126.92,125.0654,6743.56,7.75,1.5,0.285,ok
DB0-m3_o440_o158_f0_fsc.sym.53,5.0,298.15,0.100008,1.0774,2.4151,115.8448,113.4297,4696.73,5.38,1.5,0.154,ok
DB0-m3_o43_o155_f0_fsc.sym.37,5.0,298.15,0.100071,0.7663,1.7188,144.8311,143.1123,8326.44,7.03,1.5,0.299,ok
DB5-hypotheticalMOF_5074449_0_0_2_23_10_12,5.0,298.15,0.100075,0.8741,1.9608,116.6881,114.7274,5851.17,6.82,1.5,0.088,ok
DB0-m3_o153_o159_f0_fsc.sym.5,5.0,298.15,0.100117,0.8805,1.9758,143.4394,141.4636,7159.67,5.36,1.5,0.233,ok
DB0-m3_o44_o158_f0_fsc.sym.38,5.0,298.15,0.100138,1.1106,2.4928,84.4917,81.999,3289.46,5.43,1.5,0.05,ok
DB0-m3_o153_o13_f0_fsc.sym.7,5.0,298.15,0.100322,0.9662,2.1727,136.8982,134.7255,6200.84,5.22,1.5,0.266,ok
DB0-m3_o450_o158_f0_fsc.sym.95,5.0,298.15,0.100405,0.9982,2.2464,107.6791,105.4327,4693.38,5.36,1.5,0.088,ok
DB0-m3_o1520_o155_f0_fsc.sym.12,5.0,298.15,0.100437,0.769,1.7312,141.2252,139.494,8057.61,7.02,1.5,0.341,ok
DB0-m2_o42_o150_f0_fsc,5.0,298.15,0.100498,0.8804,1.9832,135.0377,133.0545,6709.18,5.36,1.5,0.263,ok
DB0-m3_o148_o159_f0_fsc.sym.2,5.0,298.15,0.1006,0.9256,2.0871,139.4185,137.3314,6580.12,5.36,1.5,0.235,ok
DB0-m3_o153_o159_f0_fsc.sym.61,5.0,298.15,0.100622,0.9006,2.0311,136.4581,134.427,6618.31,5.36,1.5,0.229,ok
DB0-m3_o18_o145_f0_fsc,5.0,298.15,0.10075,0.8459,1.9103,133.0951,131.1847,6867.15,5.68,1.5,0.275,ok
DB0-m3_o25_o46_f0_fsc.sym.48,5.0,298.15,0.100829,1.3225,2.9888,111.658,108.6692,3635.88,5.68,1.5,0.25,ok
DB0-m3_o25_o490_f0_fsc.sym.23,5.0,298.15,0.100993,0.9565,2.1652,128.7041,126.5388,5844.12,5.73,1.5,0.18,ok
DB0-m3_o155_o44_f0_fsc.sym.26,5.0,298.15,0.141632,0.8019,2.5457,121.42,118.8743,4669.59,7.03,1.5,0.216,ok
DB0-m3_o49_o13_f0_fsc.sym.13,5.0,298.15,0.141694,1.1397,3.6196,109.4887,105.8691,2924.88,4.58,1.5,0.05,ok
DB0-m3_o4_o42_f0_fsc,5.0,298.15,0.141744,1.0678,3.3924,129.3274,125.935,3712.29,4.4,1.5,0.188,ok
DB0-m3_o18_o1490_f0_fsc.sym.34,5.0,298.15,0.141807,0.9845,3.1292,128.7041,125.5749,4013.04,5.69,1.5,0.189,ok
DB0-m3_o1470_o159_f0_fsc.sym.48,5.0,298.15,0.141817,1.0122,3.2173,124.2565,121.0392,3762.09,5.37,1.5,0.14,ok
DB0-m3_o17_o1500_f0_fsc.sym.16,5.0,298.15,0.141861,0.8421,2.6776,111.0297,108.3521,4046.63,5.99,1.5,0.21,ok
DB0-m3_o46_o159_f0_fsc.sym.55,5.0,298.15,0.141885,1.0623,3.3783,122.7312,119.3529,3532.88,5.36,1.5,0.171,ok
DB12-CUVGOQ_freeONLY,5.0,298.15,0.141918,1.0021,3.1876,83.2737,80.0861,2512.41,5.34,1.5,0.05,ok
DB5-hypotheticalMOF_29125_0_0_2_25_7_12,5.0,298.15,0.141947,1.0343,3.2907,105.9277,102.637,3119.02,7.08,1.5,0.05,ok
DB0-m3_o1490_o158_f0_fsc.sym.18,5.0,298.15,0.141991,0.982,3.1253,122.6324,119.5071,3823.87,5.36,1.5,0.162,ok
DB0-m3_o153_o155_f0_fsc.sym.77,5.0,298.15,0.142042,0.8185,2.606,136.4581,133.8521,5136.24,7.02,1.5,0.292,ok
DB0-m3_o1480_o159_f0_fsc.sym.70,5.0,298.15,0.142095,1.0838,3.4518,131.0043,127.5525,3695.25,5.38,1.5,0.095,ok
DB0-m3_o81_o22_f0_fsc.sym.3,5.0,298.15,0.14212,1.3493,4.2981,115.3479,111.0498,2583.7,5.9,1.5,0.05,ok
DB0-m3_o1520_o155_f0_fsc.sym.2,5.0,298.15,0.142257,0.8678,2.7669,135.9465,133.1796,4813.23,7.01,1.5,0.19,ok
DB0-m3_o160_o49_f0_fsc.sym.22,5.0,298.15,0.142272,1.0151,3.237,139.1943,135.9573,4200.12,5.36,1.5,0.162,ok
DB0-m3_o13_o510_f0_fsc.sym.67,5.0,298.15,0.142285,1.0928,3.4852,93.6102,90.125,2585.91,5.25,1.5,0.098,ok
DB0-m3_o152_o18_f0_fsc.sym.11,5.0,298.15,0.142342,0.9605,3.0644,121.7792,118.7148,3874.04,5.63,1.5,0.147,ok
DB0-m3_o152_o155_f0_fsc.sym.8,5.0,298.15,0.142342,0.8367,2.6694,136.7513,134.082,5023.01,7.01,1.5,0.2,ok
DB12-DONNEA_freeONLY,5.0,298.15,0.142352,1.2349,3.9402,80.5861,76.6459,1945.21,4.42,1.5,0.105,ok
DB0-m3_o1530_o156_f0_fsc.sym.87,5.0,298.15,0.142428,0.878,2.8029,140.1685,137.3656,4900.88,6.99,1.5,0.214,ok
DB0-m3_o1490_o155_f0_fsc.sym.63,5.0,298.15,0.142473,0.9091,2.9031,133.3095,130.4064,4491.93,7.02,1.5,0.197,ok
DB0-m3_o160_o147_f0_fsc.sym.25,5.0,298.15,0.14263,1.0158,3.2474,135.2915,132.0441,4066.13,5.36,1.5,0.143,ok
DB0-m3_o48_o159_f0_fsc.sym.64,5.0,298.15,0.142657,1.0399,3.325,129.1539,125.8289,3784.34,5.36,1.5,0.131,ok
DB0-m3_o152_o156_f0_fsc.sym.29,5.0,298.15,0.142704,0.8033,2.5695,145.8444,143.2749,5575.91,6.99,1.5,0.282,ok
DB0-m3_o43_o156_f0_fsc.sym.90,5.0,298.15,0.14283,0.7549,2.4169,137.0452,134.6283,5570.37,6.99,1.5,0.291,ok
DB0-m3_o156_o45_f0_fsc.sym.32,5.0,298.15,0.142831,0.8218,2.631,125.497,122.866,4669.85,7.01,1.5,0.242,ok
DB0-m3_o24_o82_f0_fsc.sym.40,5.0,298.15,0.142838,1.45,4.6423,89.0314,84.389,1817.82,5.35,1.5,0.05,ok
DB0-m3_o153_o158_f0_fsc.sym.85,5.0,298.15,0.142858,0.9513,3.0459,107.5634,104.5175,3431.38,5.35,1.5,0.175,ok
DB0-m3_o480_o158_f0_fsc.sym.11,5.0,298.15,0.142862,1.0395,3.3286,131.0394,127.7109,3836.81,5.34,1.5,0.168,ok
DB0-m3_o156_o510_f0_fsc.sym.5,5.0,298.15,0.142871,0.8487,2.7178,139.045,136.3272,5016.11,7.01,1.5,0.322,ok
DB0-m3_o158_o47_f0_fsc.sym.15,5.0,298.15,0.142925,0.991,3.1745,127.1246,123.9501,3904.5,5.37,1.5,0.193,ok
DB0-m3_o16_o45_f0_fsc.sym.73,5.0,298.15,0.142945,1.0269,3.2902,140.9981,137.7079,4185.36,5.11,1.5,0.165,ok
DB0-m3_o147_o156_f0_fsc.sym.3,5.0,298.15,0.142947,1.0222,3.2752,115.4099,112.1348,3423.8,7.02,1.5,0.071,ok
DB0-m3_o1490_o155_f0_fsc.sym.31,5.0,298.15,0.178764,0.9232,3.6993,125.1269,121.4277,3282.47,7.03,1.5,0.152,ok
DB0-m3_o51_o4_f0_fsc.sym.35,5.0,298.15,0.178774,1.1064,4.4334,95.0831,90.6497,2044.71,5.22,1.5,0.083,ok
DB0-m3_o490_o158_f0_fsc.sym.34,5.0,298.15,0.178776,1.2112,4.8535,92.7948,87.9412,1811.9,5.38,1.5,0.05,ok
DB5-hypotheticalMOF_35592_0_0_2_14_2_4,5.0,298.15,0.178784,1.0725,4.2978,121.8119,117.5141,2734.25,5.34,1.5,0.236,ok
DB0-m3_o42_o155_f0_fsc.sym.11,5.0,298.15,0.178789,0.9478,3.7981,113.9924,110.1942,2901.28,7.13,1.5,0.075,ok
DB0-m3_o24_o147_f0_fsc.sym.34,5.0,298.15,0.178844,1.3447,5.3905,90.5609,85.1704,1580.01,4.35,1.5,0.05,ok
DB0-m3_o1490_o156_f0_fsc.sym.8,5.0,298.15,0.178874,0.9338,3.7439,132.2406,128.4967,3432.15,7.0,1.5,0.201,ok
DB0-m3_o1520_o156_f0_fsc.sym.69,5.0,298.15,0.17897,0.8609,3.4536,134.8566,131.403,3804.8,6.99,1.5,0.241,ok
DB0-m3_o153_o4_f0_fsc.sym.38,5.0,298.15,0.178999,1.1388,4.5688,110.1973,105.6285,2311.94,5.21,1.5,0.123,ok
DB0-m3_o16_o51_f0_fsc.sym.72,5.0,298.15,0.179,1.0007,4.0149,97.7424,93.7275,2334.52,5.27,1.5,0.079,ok
DB0-m3_o48_o156_f0_fsc.sym.9,5.0,298.15,0.179025,0.9149,3.6713,144.7534,141.0821,3842.86,6.98,1.5,0.208,ok
DB0-m3_o155_o45_f0_fsc.sym.28,5.0,298.15,0.179159,0.8933,3.5872,116.3126,112.7254,3142.44,7.04,1.5,0.11,ok
DB0-m3_o1490_o156_f0_fsc.sym.19,5.0,298.15,0.179433,1.0643,4.2804,134.6397,130.3593,3045.52,6.99,1.5,0.196,ok
DB0-m3_o153_o158_f0_fsc.sym.17,5.0,298.15,0.179494,0.9519,3.8298,116.5315,112.7017,2942.72,5.36,1.5,0.1,ok
DB1-Al2O6-ADC_B-BDC_B_No351,5.0,298.15,0.179603,1.114,4.4846,86.461,81.9764,1827.97,8.29,1.5,0.05,ok
DB0-m3_o1480_o156_f0_fsc.sym.23,5.0,298.15,0.179615,0.9835,3.9593,135.219,131.2597,3315.23,6.99,1.5,0.207,ok
DB0-m3_o1480_o156_f0_fsc.sym.20,5.0,298.15,0.179667,1.0305,4.15,127.9806,123.8306,2983.84,7.0,1.5,0.194,ok
DB0-m3_o113_o22_f0_fsc.sym.17,5.0,298.15,0.179851,1.429,5.7605,103.5062,97.7458,1696.84,4.95,1.5,0.05,ok
DB0-m3_o500_o156_f0_fsc.sym.22,5.0,298.15,0.179859,0.9169,3.6965,134.4952,130.7988,3538.46,6.99,1.5,0.188,ok
DB0-m3_o1490_o156_f0_fsc.sym.13,5.0,298.15,0.179873,0.9197,3.708,137.266,133.5579,3601.85,7.01,1.5,0.184,ok
DB0-m3_o1_o153_f0_fsc.sym.41,5.0,298.15,0.179911,1.0861,4.3798,102.5227,98.1429,2240.8,5.21,1.5,0.085,ok
DB0-m3_o51_o4_f0_fsc.sym.2,5.0,298.15,0.179921,0.975,3.9321,105.5013,101.5692,2583.08,5.23,1.5,0.204,ok
DB0-m3_o16_o147_f0_fsc.sym.10,5.0,298.15,0.179966,1.1302,4.5588,118.7434,114.1846,2504.72,4.87,1.5,0.088,ok
DB0-m3_o18_o47_f0_fsc.sym.16,5.0,298.15,0.18001,1.1744,4.7385,112.2296,107.4911,2268.48,5.63,1.5,0.097,ok
DB0-m3_o490_o22_f0_fsc.sym.1,5.0,298.15,0.180056,1.2385,4.9984,106.3843,101.3859,2028.38,4.29,1.5,0.05,ok
DB0-m3_o18_o51_f0_fsc.sym.30,5.0,298.15,0.180068,1.0138,4.0917,117.1278,113.0361,2762.6,5.81,1.5,0.134,ok
DB0-m15_o14_o97_f0_fsc,5.0,298.15,0.180197,1.1306,4.5664,106.7855,102.2191,2238.5,6.27,1.5,0.058,ok
DB0-m3_o1520_o156_f0_fsc.sym.13,5.0,298.15,0.180276,0.8766,3.5421,127.8433,124.3012,3509.26,7.0,1.5,0.158,ok
DB0-m3_o81_o4_f0_fsc.sym.1,5.0,298.15,0.180368,1.1792,4.7674,105.1049,100.3375,2104.67,5.89,1.5,0.054,ok
DB0-m3_o156_o150_f0_fsc.sym.104,5.0,298.15,0.180473,0.8677,3.5099,141.3768,137.867,3927.95,6.99,1.5,0.196,ok
DB0-m3_o16_o150_f0_fsc.sym.96,5.0,298.15,0.180487,0.9269,3.7498,119.2547,115.5049,3080.26,6.03,1.5,0.133,ok
DB0-m3_o156_o150_f0_fsc.sym.64,5.0,298.15,0.180581,0.7947,3.2167,127.3637,124.147,3859.49,7.0,1.5,0.234,ok
DB0-m3_o16_o1530_f0_fsc.sym.37,5.0,298.15,0.180586,1.0554,4.272,115.3789,111.107,2600.84,5.2,1.5,0.096,ok
DB0-m3_o490_o155_f0_fsc.sym.33,5.0,298.15,0.180637,0.9734,3.9413,108.8432,104.9019,2661.64,7.03,1.5,0.078,ok
DB1-Al2O6-ADC_B-BDC_B_No167,5.0,298.15,0.180653,1.114,4.5108,86.461,81.9502,1816.77,8.29,1.5,0.05,ok
DB0-m3_o460_o14_f0_fsc.sym.19,5.0,298.15,0.581549,1.4241,18.5631,90.1048,71.5417,385.4,3.72,1.5,0.05,ok
DB0-m3_o51_o15_f0_fsc.sym.14,5.0,298.15,0.588469,1.4597,19.2528,87.6512,68.3984,355.26,5.27,1.5,0.05,ok
DB0-m3_o45_o15_f0_fsc.sym.3,5.0,298.15,0.591502,1.1934,15.8221,97.3487,81.5266,515.27,5.21,1.5,0.05,ok
DB0-m3_o152_o15_f0_fsc.sym.22,5.0,298.15,0.59526,1.287,17.1716,99.7079,82.5363,480.65,5.21,1.5,0.05,ok
DB12-MIMVEJ_freeONLY,5.0,298.15,0.601421,1.3041,17.5798,87.9173,70.3374,400.1,6.2,1.5,0.05,ok
DB12-MIMVEJ_clean,5.0,298.15,0.60272,1.3041,17.6179,87.9054,70.2876,398.96,6.2,1.5,0.05,ok
DB0-m3_o1490_o15_f0_fsc.sym.2,5.0,298.15,0.605308,1.3569,18.41,92.2716,73.8616,401.2,4.3,1.5,0.05,ok
DB0-m3_o51_o15_f0_fsc.sym.3,5.0,298.15,0.607987,1.1702,15.9474,92.7698,76.8224,481.72,5.26,1.5,0.05,ok
DB0-m3_o153_o14_f0_fsc.sym.62,5.0,298.15,0.609229,1.2789,17.4635,89.9593,72.4958,415.13,5.21,1.5,0.05,ok
DB0-m3_o1480_o15_f0_fsc.sym.16,5.0,298.15,0.620738,1.3447,18.7086,90.9887,72.2801,386.35,4.3,1.5,0.05,ok
DB5-hypotheticalMOF_36346_0_0_2_16_2_12,5.0,298.15,0.622192,1.1895,16.5881,90.5,73.9119,445.57,5.94,1.5,0.05,ok
DB0-m3_o1480_o15_f0_fsc.sym.17,5.0,298.15,0.629742,1.318,18.6042,92.6824,74.0783,398.18,4.3,1.5,0.05,ok
DB0-m3_o152_o15_f0_fsc.sym.16,5.0,298.15,0.631637,1.3562,19.2003,82.2835,63.0833,328.55,5.21,1.5,0.05,ok
DB0-m3_o45_o15_f0_fsc.sym.26,5.0,298.15,0.637934,1.3735,19.6387,92.4955,72.8567,370.99,5.1,1.5,0.05,ok
DB0-m3_o1490_o15_f0_fsc.sym.15,5.0,298.15,0.648857,1.4236,20.7035,89.1033,68.3998,330.38,4.29,1.5,0.05,ok
DB0-m3_o1480_o15_f0_fsc.sym.21,5.0,298.15,0.664481,1.5359,22.8752,90.3904,67.5152,295.15,4.29,1.5,0.05,ok
DB0-m3_o1490_o15_f0_fsc.sym.3,5.0,298.15,0.666926,1.3408,20.0423,90.2444,70.2022,350.27,4.3,1.5,0.05,ok
DB0-m3_o47_o15_f0_fsc.sym.22,5.0,298.15,0.671519,1.3342,20.0809,88.3089,68.228,339.76,4.52,1.5,0.05,ok
DB0-m3_o44_o15_f0_fsc.sym.16,5.0,298.15,0.678917,1.2528,19.0637,92.0979,73.0342,383.11,5.43,1.5,0.05,ok
DB0-m3_o49_o14_f0_fsc.sym.2,5.0,298.15,0.682021,1.3152,20.1045,91.8132,71.7086,356.68,4.34,1.5,0.05,ok
DB0-m3_o1530_o15_f0_fsc.sym.2,5.0,298.15,0.7053,1.2255,19.3741,79.8802,60.5061,312.3,5.23,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No47,5.0,298.15,0.719352,1.354,21.8315,77.3934,55.5619,254.5,6.74,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No223,5.0,298.15,0.722966,1.354,21.9412,77.3934,55.4523,252.73,6.74,1.5,0.05,ok
DB0-m3_o150_o15_f0_fsc.sym.44,5.0,298.15,0.733467,1.405,23.0974,93.7363,70.6389,305.83,6.03,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No149,5.0,298.15,0.738792,1.354,22.4215,77.3934,54.9719,245.18,6.74,1.5,0.05,ok
DB0-m3_o470_o15_f0_fsc.sym.17,5.0,298.15,0.741025,1.3522,22.4586,79.8964,57.4378,255.75,4.51,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No97,5.0,298.15,0.743666,1.354,22.5694,77.3934,54.824,242.91,6.74,1.5,0.05,ok
DB0-m3_o45_o15_f0_fsc.sym.18,5.0,298.15,0.775207,1.3125,22.805,98.8133,76.0083,333.3,5.24,1.5,0.05,ok
DB0-m3_o47_o15_f0_fsc.sym.3,5.0,298.15,0.788534,1.3456,23.7833,87.604,63.8208,268.34,4.51,1.5,0.05,ok
DB0-m3_o490_o15_f0_fsc.sym.4,5.0,298.15,0.822842,1.433,26.4294,105.6432,79.2139,299.72,4.31,1.5,0.05,ok
DB0-m3_o1490_o15_f0_fsc.sym.18,5.0,298.15,0.823971,1.3897,25.6666,85.2293,59.5627,232.06,4.38,1.5,0.05,ok
DB0-m3_o490_o15_f0_fsc.sym.3,5.0,298.15,0.842949,1.3868,26.2018,107.0154,80.8136,308.43,4.29,1.5,0.05,ok
DB0-m3_o1520_o15_f0_fsc.sym.2,5.0,298.15,0.853576,1.2527,23.9665,83.9951,60.0286,250.47,5.25,1.5,0.05,ok
DB0-m3_o152_o15_f0_fsc.sym.2,5.0,298.15,0.879783,1.2569,24.7854,78.6431,53.8577,217.3,5.25,1.5,0.05,ok
DB0-m3_o1470_o15_f0_fsc.sym.3,5.0,298.15,0.95522,1.4365,30.7565,95.365,64.6086,210.07,4.32,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No83,5.0,298.15,1.006958,1.3398,30.2389,77.5214,47.2825,156.36,6.74,1.5,0.05,ok
DB1-Al2O6-ADC_B-fum_B_No11,5.0,298.15,1.02417,1.3398,30.7558,77.5214,46.7656,152.05,6.74,1.5,0.05,ok
DB5-hypotheticalMOF_33053_0_0_2_0_25_3,10.0,298.15,0.011779,1.319,0.3482,120.5104,120.1622,34506.16,7.08,1.5,0.398,ok
DB1-AlO6-mofHTB_No11,10.0,298.15,0.016006,1.3985,0.5017,115.534,115.0323,22927.32,7.48,1.5,0.05,ok
DB0-m3_o1_o7_f0_nbo.sym.79,10.0,298.15,0.016512,1.0883,0.4028,125.3287,124.9259,31017.29,14.22,5.13,0.675,ok
DB0-m9_o2_o2_f0_sra.sym.42,10.0,298.15,0.01658,1.2345,0.4588,113.138,112.6792,24561.12,7.63,1.5,0.05,ok
DB1-AlO6-mof200_No4,10.0,298.15,0.017253,0.9144,0.3536,107.766,107.4124,30377.17,9.52,1.5,0.361,ok
DB12-EPONAA_clean,10.0,298.15,0.017294,0.4952,0.192,159.6776,159.4856,83080.82,8.14,1.95,0.77,ok
DB0-m9_o13_o20_f0_sra.sym.96,10.0,298.15,0.017472,1.1656,0.4565,110.8508,110.3943,24182.95,8.18,1.5,0.05,ok
DB0-m3_o25_o146_f0_fsc.sym.26,10.0,298.15,0.017654,1.0887,0.4308,122.5008,122.0699,28335.01,6.23,1.5,0.244,ok
DB1-AlO6-mofHTB_No12,10.0,298.15,0.017685,0.7877,0.3122,92.0111,91.6989,29369.49,7.48,1.5,0.314,ok
DB0-m2_o1_o9_f0_nbo.sym.104,10.0,298.15,0.018861,1.1558,0.4886,142.9785,142.4899,29161.25,7.51,3.86,0.548,ok
DB1-AlO6-ADC_A_No4,10.0,298.15,0.019035,0.5013,0.2139,102.2336,102.0197,47699.27,11.52,1.5,0.47,ok
DB0-m2_o24_o24_f0_nbo.sym.15,10.0,298.15,0.019133,0.6893,0.2956,120.4134,120.1178,40635.9,12.15,4.96,0.514,ok
DB5-hypotheticalMOF_5060248_2_1_2_12_12_0,10.0,298.15,0.019678,1.055,0.4653,154.4575,153.9922,33095.22,4.72,1.5,0.352,ok
DB0-m2_o10_kto,10.0,298.15,0.019863,0.6009,0.2675,121.1594,120.8919,45186.12,9.53,3.54,0.659,ok
DB5-hypotheticalMOF_5024843_2_0_0_27_16_1,10.0,298.15,0.036827,0.3672,0.3031,160.1061,159.803,52728.27,8.52,3.14,0.738,ok
DB0-m2_o14_o20_f0_nbo.sym.99,10.0,298.15,0.036827,0.4374,0.361,133.4169,133.0559,36854.35,12.26,4.79,0.648,ok
DB6-cuf_7523,10.0,298.15,0.036838,0.4828,0.3986,146.9437,146.545,36762.16,7.68,1.5,0.629,ok
DB7-ddmof_6678,10.0,298.15,0.036838,0.7205,0.5949,143.2856,142.6907,23984.99,13.18,4.32,0.556,ok
DB5-hypotheticalMOF_5018595_0_0_0_19_12_10,10.0,298.15,0.036843,0.4087,0.3375,145.0643,144.7268,42879.78,7.22,1.92,0.65,ok
DB5-hypotheticalMOF_5017164_2_0_0_19_25_6,10.0,298.15,0.036854,0.3094,0.2556,114.422,114.1664,44665.14,7.92,3.58,0.765,ok
DB0-m3_o9_o23_f0_nbo.sym.68,10.0,298.15,0.036854,0.541,0.4469,144.8311,144.3841,32306.67,8.89,5.11,0.55,ok
DB0-m2_o11_o28_f0_nbo.sym.55,10.0,298.15,0.036863,0.3494,0.2887,123.1935,122.9047,42568.45,18.62,5.05,0.701,ok
DB0-m2_o5_o27_f0_nbo.sym.12,10.0,298.15,0.036868,0.4734,0.3912,146.1577,145.7664,37258.71,15.32,3.67,0.636,ok
DB0-m3_o21_o26_f0_pcu.sym.2,10.0,298.15,0.036868,0.3614,0.2986,135.6186,135.32,45315.06,6.97,1.55,0.69,ok
DB0-m2_o11_o28_f0_nbo.sym.35,10.0,298.15,0.036869,0.2975,0.2458,104.9919,104.7461,42607.12,18.68,5.13,0.766,ok
